model,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,n_folds,fold_accuracies
ResNet18,0.999529411764706,0.0002999423243289889,0.9991176470588236,1.0,5,"0.9994, 0.9997, 0.9994, 0.9991, 1.0000"
Stacking Ensemble,0.999117660522461,0.0004921482969386645,0.9985294342041016,1.0,5,"0.9991, 0.9991, 0.9988, 0.9985, 1.0000"
DenseNet121,0.9990588235294118,0.00043226289578524225,0.9982352941176471,0.9994117647058823,5,"0.9991, 0.9994, 0.9991, 0.9982, 0.9994"
EfficientNet,0.9988823529411764,0.0005060191333554556,0.9979411764705882,0.9994117647058823,5,"0.9991, 0.9988, 0.9979, 0.9991, 0.9994"
