model,fold,epoch,train_loss,train_acc,val_loss,val_acc
ResNet18,3,13,0.5098375861784991,0.9978676470588236,0.5047594383183648,0.9988235294117647
ResNet18,3,14,0.5097053488563089,0.9981617647058824,0.5045832646594328,0.9988235294117647
ResNet18,3,15,0.5093372611438527,0.9982352941176471,0.5042932566474466,0.9988235294117647
ResNet18,4,1,0.7381621181263643,0.9219117647058823,0.5716718909319709,0.9929411764705882
ResNet18,4,2,0.5734183324084562,0.9861029411764706,0.5434186444563024,0.9964705882352941
ResNet18,4,3,0.5519509869463304,0.9906617647058824,0.5383115378548117,0.9952941176470588
ResNet18,4,4,0.5393898763376124,0.9929411764705882,0.5162714662271387,0.9988235294117647
ResNet18,4,5,0.530057245983797,0.9944852941176471,0.5325808164652656,0.9941176470588236
ResNet18,4,6,0.5301706389819875,0.9939705882352942,0.5167514182539548,0.9997058823529412
ResNet18,4,7,0.5210839243496166,0.995735294117647,0.5101997862142675,0.9991176470588236
ResNet18,4,8,0.5170024888655719,0.9966176470588235,0.5083544445037842,0.9979411764705882
ResNet18,4,9,0.5146121386920705,0.9969117647058824,0.5049686314077938,1.0
ResNet18,4,10,0.5103363495714525,0.9983823529411765,0.5049272096858305,0.9994117647058823
ResNet18,4,11,0.5102861896683188,0.9978676470588236,0.5056990285480724,0.9988235294117647
ResNet18,4,12,0.509700312053456,0.9983088235294117,0.5038311062139623,0.9994117647058823
ResNet18,4,13,0.5084775254305671,0.9983823529411765,0.5031617417055018,0.9997058823529412
ResNet18,4,14,0.5083426859799554,0.9986029411764706,0.5029982478478375,0.9997058823529412
ResNet18,4,15,0.5079422973184025,0.9989705882352942,0.5026327068665448,0.9997058823529412
DenseNet121,0,1,0.7277809880761539,0.9245588235294118,0.5404137430471533,0.9920588235294118
DenseNet121,0,2,0.5629446411132812,0.9828676470588236,0.551810419699725,0.99
DenseNet121,0,3,0.5469725967856014,0.988014705882353,0.5387396635728724,0.9894117647058823
DenseNet121,0,4,0.5418628162496231,0.9894852941176471,0.6377409606821397,0.9429411764705883
DenseNet121,0,5,0.530298942678115,0.991764705882353,0.5113708867746241,0.9988235294117647
DenseNet121,0,6,0.524169786677641,0.9934558823529411,0.5236921345486361,0.9947058823529412
DenseNet121,0,7,0.5211342386638417,0.995,0.5082659282403834,0.9991176470588236
DenseNet121,0,8,0.522201631489922,0.9940441176470588,0.5073731958164889,0.9985294117647059
DenseNet121,0,9,0.515287950740141,0.9963235294117647,0.5448415380365709,0.9835294117647059
DenseNet121,0,10,0.5117975450964535,0.9968382352941176,0.5064288115501404,0.9985294117647059
DenseNet121,0,11,0.5104311958481283,0.9972058823529412,0.505169836212607,0.9988235294117647
DenseNet121,0,12,0.5098125419897191,0.9976470588235294,0.5040495060471928,0.9988235294117647
DenseNet121,0,13,0.5092176664576811,0.9978676470588236,0.5038740410524256,0.9988235294117647
DenseNet121,0,14,0.5081635925349067,0.9983088235294117,0.5037894589760724,0.9991176470588236
DenseNet121,0,15,0.509218180880827,0.9976470588235294,0.5038590642985176,0.9988235294117647
DenseNet121,1,1,0.7341137311037849,0.9210294117647059,0.5411911111719468,0.9926470588235294
DenseNet121,1,2,0.5653230221131269,0.9839705882352942,0.522040851536919,0.9976470588235294
DenseNet121,1,3,0.5518037832484526,0.9854411764705883,0.5228586797153248,0.9952941176470588
DenseNet121,1,4,0.5418387742603527,0.9888235294117647,0.5249707461805905,0.9955882352941177
DenseNet121,1,5,0.5316783881187439,0.9916911764705882,0.5660623634562773,0.9788235294117648
DenseNet121,1,6,0.5285693247178022,0.9924264705882353,0.51626283715753,0.995
DenseNet121,1,7,0.5205898723882787,0.9944852941176471,0.5077046817891738,0.9985294117647059
DenseNet121,1,8,0.5194892902935252,0.9943382352941177,0.5076174625228433,0.9988235294117647
DenseNet121,1,9,0.5132759827726028,0.9972058823529412,0.5056964676520403,0.9985294117647059
DenseNet121,1,10,0.5146284633524277,0.99625,0.5062640244820539,0.9982352941176471
DenseNet121,1,11,0.5096754180683809,0.9977205882352941,0.503850159925573,0.9988235294117647
DenseNet121,1,12,0.5090805691831252,0.9976470588235294,0.5030411027459537,0.9988235294117647
DenseNet121,1,13,0.5084884489283842,0.998014705882353,0.5025826414893655,0.9991176470588236
DenseNet121,1,14,0.5088692942787619,0.9978676470588236,0.5024479853405672,0.9994117647058823
DenseNet121,1,15,0.5086369845446418,0.9979411764705882,0.5025973422387067,0.9991176470588236
DenseNet121,2,1,0.7347519913841697,0.9229411764705883,0.5442820310592651,0.9967647058823529
DenseNet121,2,2,0.567335651622099,0.9830882352941176,0.5267336696736953,0.9958823529411764
DenseNet121,2,3,0.5429444184022791,0.9895588235294117,0.6871776439161862,0.9329411764705883
DenseNet121,2,4,0.5394073409192702,0.9891911764705882,0.5190220442940207,0.9958823529411764
DenseNet121,2,5,0.5308925630064572,0.9923529411764705,0.6787192989798153,0.9279411764705883
DenseNet121,2,6,0.5272248270932366,0.9930882352941176,0.5148265764292549,0.9967647058823529
DenseNet121,2,7,0.5263376975059509,0.9924264705882353,0.5108285839417401,0.9973529411764706
DenseNet121,2,8,0.5200350179391748,0.9945588235294117,0.5285099411010742,0.9905882352941177
DenseNet121,2,9,0.5165990526535932,0.9959558823529412,0.5077352826735553,0.9988235294117647
DenseNet121,2,10,0.5108552441877477,0.9975,0.5051510200780981,0.9988235294117647
DenseNet121,2,11,0.5090923216763664,0.9975735294117647,0.5047728489427006,0.9985294117647059
DenseNet121,2,12,0.507954878246083,0.998014705882353,0.5040343496378731,0.9985294117647059
DenseNet121,2,13,0.5097969102859498,0.9977205882352941,0.5040138936042786,0.9988235294117647
DenseNet121,2,14,0.5098647507499247,0.9972794117647059,0.5038804908359752,0.9991176470588236
DenseNet121,2,15,0.5091827566483441,0.9978676470588236,0.5035779377993416,0.9991176470588236
DenseNet121,3,1,0.7247416729085585,0.9280882352941177,0.5427171240133398,0.9920588235294118
DenseNet121,3,2,0.5647862228225259,0.9823529411764705,1.6565967193771811,0.5991176470588235
DenseNet121,3,3,0.5523668812302982,0.985735294117647,0.5247576842588537,0.995
DenseNet121,3,4,0.5359936339714948,0.9906617647058824,0.5225345244127161,0.9961764705882353
DenseNet121,3,5,0.532060392183416,0.9913970588235295,0.518968377534081,0.9947058823529412
DenseNet121,3,6,0.5280179760035346,0.9926470588235294,0.775330855846405,0.8905882352941177
DenseNet121,3,7,0.5181450183251325,0.9952941176470588,0.515378799718969,0.9961764705882353
DenseNet121,3,8,0.5197793908680186,0.9952205882352941,0.5134511734457577,0.9961764705882353
DenseNet121,3,9,0.5164194836336023,0.9950735294117647,0.5098855244412142,0.9967647058823529
DenseNet121,3,10,0.5130949054044835,0.9960294117647058,0.5059781899171717,0.9976470588235294
DenseNet121,3,11,0.5084780457440544,0.9983088235294117,0.5067726543370416,0.9973529411764706
DenseNet121,3,12,0.5103596772867091,0.9969117647058824,0.5051416549963109,0.9982352941176471
DenseNet121,3,13,0.5088744784803951,0.9978676470588236,0.505281790004057,0.9979411764705882
DenseNet121,3,14,0.5078907794110915,0.9981617647058824,0.50509553937351,0.9979411764705882
DenseNet121,3,15,0.5077459326912375,0.998014705882353,0.5049757738674389,0.9982352941176471
DenseNet121,4,1,0.7415936705645393,0.9209558823529411,0.5422178912162781,0.9958823529411764
DenseNet121,4,2,0.5722527927510879,0.9814705882352941,0.656639503030216,0.9423529411764706
DenseNet121,4,3,0.5455327719800612,0.9877941176470588,0.5291348454531501,0.9961764705882353
DenseNet121,4,4,0.544184435676126,0.9880882352941176,0.5281239198235904,0.9970588235294118
DenseNet121,4,5,0.5338029444918913,0.9913970588235295,0.5154140496253967,0.9973529411764706
DenseNet121,4,6,0.5273109788053176,0.9931617647058824,0.523288047173444,0.9955882352941177
DenseNet121,4,7,0.524184814340928,0.9926470588235294,0.5117201425047482,0.9976470588235294
DenseNet121,4,8,0.5218954979672151,0.9940441176470588,0.5085173967305352,0.9988235294117647
DenseNet121,4,9,0.5151962388263029,0.9965441176470589,0.516586560642018,0.9941176470588236
DenseNet121,4,10,0.5122610768149881,0.9968382352941176,0.5041738425984102,0.9985294117647059
DenseNet121,4,11,0.5105377570320578,0.9971323529411765,0.5030276919813718,0.9994117647058823
DenseNet121,4,12,0.5094184501030866,0.9977205882352941,0.5027923185685101,0.9994117647058823
DenseNet121,4,13,0.5087203077708974,0.9981617647058824,0.502711198610418,0.9994117647058823
DenseNet121,4,14,0.5116237260313595,0.9966911764705882,0.5026058091836817,0.9994117647058823
DenseNet121,4,15,0.5082755248686847,0.9978676470588236,0.5024125040278715,0.9994117647058823
EfficientNet,0,1,1.2555327456137713,0.6758823529411765,0.6258299582144793,0.961764705882353
